control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
5,20 segundo,20 segundo,1,1,0,0
6,20 segundo,20 segundo,1,1,0,0
7,10 segundo,5 segundo,0,0,0,0
8,5 segundo,20 segundo,0,1,1,1
11,10 segundo,20 segundo,0,1,1,1
14,20 segundo,20 segundo,1,1,0,0
21,20 segundo,20 segundo,1,1,0,0
22,20 segundo,20 segundo,1,1,0,0
23,20 segundo,20 segundo,1,1,0,0
24,20 segundo,20 segundo,1,1,0,0
25,20 segundo,20 segundo,1,1,0,0
26,20 segundo,20 segundo,1,1,0,0
27,20 segundo,20 segundo,1,1,0,0
28,20 segundo,20 segundo,1,1,0,0
29,20 segundo,20 segundo,1,1,0,0
30,20 segundo,20 segundo,1,1,0,0
31,20 segundo,20 segundo,1,1,0,0
32,20 segundo,20 segundo,1,1,0,0
33,20 segundo,20 segundo,1,1,0,0
35,20 segundo,20 segundo,1,1,0,0
38,5 segundo,20 segundo,0,1,1,1
39,20 segundo,20 segundo,1,1,0,0
44,20 segundo,20 segundo,1,1,0,0
49,20 segundo,20 segundo,1,1,0,0
51,20 segundo,20 segundo,1,1,0,0
52,20 segundo,20 segundo,1,1,0,0
53,20 segundo,20 segundo,1,1,0,0
54,20 segundo,20 segundo,1,1,0,0
55,20 segundo,20 segundo,1,1,0,0
56,20 segundo,20 segundo,1,1,0,0
57,20 segundo,20 segundo,1,1,0,0
58,20 segundo,20 segundo,1,1,0,0
59,20 segundo,20 segundo,1,1,0,0
60,20 segundo,20 segundo,1,1,0,0
61,20 segundo,20 segundo,1,1,0,0
62,20 segundo,20 segundo,1,1,0,0
63,20 segundo,20 segundo,1,1,0,0
64,20 segundo,20 segundo,1,1,0,0
74,20 segundo,20 segundo,1,1,0,0
75,20 segundo,20 segundo,1,1,0,0
76,20 segundo,20 segundo,1,1,0,0
81,20 segundo,20 segundo,1,1,0,0
82,20 segundo,20 segundo,1,1,0,0
85,20 segundo,20 segundo,1,1,0,0
86,20 segundo,20 segundo,1,1,0,0
87,20 segundo,20 segundo,1,1,0,0
88,5 segundo,20 segundo,0,1,1,1
90,20 segundo,20 segundo,1,1,0,0
92,5 segundo,20 segundo,0,1,1,1
94,20 segundo,20 segundo,1,1,0,0
95,5 segundo,20 segundo,0,1,1,1
96,20 segundo,20 segundo,1,1,0,0
97,10 segundo,10 segundo,0,0,0,0
98,5 segundo,5 segundo,0,0,0,0
103,20 segundo,20 segundo,1,1,0,0
104,10 segundo,10 segundo,0,0,0,0
106,20 segundo,10 segundo,1,0,1,0
107,20 segundo,5 segundo,1,0,1,0
108,5 segundo,5 segundo,0,0,0,0
110,5 segundo,5 segundo,0,0,0,0
114,10 segundo,10 segundo,0,0,0,0
115,5 segundo,10 segundo,0,0,0,0
117,20 segundo,20 segundo,1,1,0,0
118,20 segundo,20 segundo,1,1,0,0
119,20 segundo,20 segundo,1,1,0,0
120,20 segundo,20 segundo,1,1,0,0
121,20 segundo,20 segundo,1,1,0,0
122,20 segundo,20 segundo,1,1,0,0
123,20 segundo,20 segundo,1,1,0,0
124,20 segundo,20 segundo,1,1,0,0
125,20 segundo,20 segundo,1,1,0,0
126,20 segundo,20 segundo,1,1,0,0
127,20 segundo,20 segundo,1,1,0,0
128,20 segundo,20 segundo,1,1,0,0
129,20 segundo,20 segundo,1,1,0,0
130,20 segundo,20 segundo,1,1,0,0
131,20 segundo,20 segundo,1,1,0,0
132,20 segundo,20 segundo,1,1,0,0
135,20 segundo,20 segundo,1,1,0,0
136,20 segundo,20 segundo,1,1,0,0
137,20 segundo,20 segundo,1,1,0,0
138,20 segundo,20 segundo,1,1,0,0
141,20 segundo,20 segundo,1,1,0,0
143,5 segundo,5 segundo,0,0,0,0
145,20 segundo,20 segundo,1,1,0,0
146,20 segundo,20 segundo,1,1,0,0
147,20 segundo,20 segundo,1,1,0,0
148,20 segundo,20 segundo,1,1,0,0
149,10 segundo,20 segundo,0,1,1,1
150,10 segundo,20 segundo,0,1,1,1
152,10 segundo,20 segundo,0,1,1,1
153,10 segundo,20 segundo,0,1,1,1
154,10 segundo,20 segundo,0,1,1,1
155,10 segundo,20 segundo,0,1,1,1
156,5 segundo,10 segundo,0,0,0,0
157,10 segundo,10 segundo,0,0,0,0
158,10 segundo,20 segundo,0,1,1,1
159,10 segundo,20 segundo,0,1,1,1
162,20 segundo,20 segundo,1,1,0,0
166,10 segundo,10 segundo,0,0,0,0
169,10 segundo,10 segundo,0,0,0,0
178,20 segundo,20 segundo,1,1,0,0
180,20 segundo,20 segundo,1,1,0,0
181,20 segundo,20 segundo,1,1,0,0
182,10 segundo,20 segundo,0,1,1,1
183,10 segundo,20 segundo,0,1,1,1
184,10 segundo,20 segundo,0,1,1,1
185,10 segundo,20 segundo,0,1,1,1
186,10 segundo,20 segundo,0,1,1,1
187,20 segundo,20 segundo,1,1,0,0
188,20 segundo,20 segundo,1,1,0,0
189,20 segundo,20 segundo,1,1,0,0
190,20 segundo,20 segundo,1,1,0,0
191,20 segundo,20 segundo,1,1,0,0
192,20 segundo,20 segundo,1,1,0,0
194,5 segundo,5 segundo,0,0,0,0
195,20 segundo,20 segundo,1,1,0,0
196,5 segundo,5 segundo,0,0,0,0
197,10 segundo,10 segundo,0,0,0,0
198,10 segundo,10 segundo,0,0,0,0
199,10 segundo,10 segundo,0,0,0,0
204,10 segundo,10 segundo,0,0,0,0
205,20 segundo,20 segundo,1,1,0,0
206,20 segundo,20 segundo,1,1,0,0
212,5 segundo,5 segundo,0,0,0,0
214,10 segundo,20 segundo,0,1,1,1
216,5 segundo,20 segundo,0,1,1,1
218,20 segundo,20 segundo,1,1,0,0
219,20 segundo,20 segundo,1,1,0,0
220,20 segundo,20 segundo,1,1,0,0
221,20 segundo,20 segundo,1,1,0,0
223,20 segundo,20 segundo,1,1,0,0
224,20 segundo,20 segundo,1,1,0,0
