control number,PRE:answer,POST:answer,PRE:correct,POST:correct,score change,improved
5,estudyante,estudyante,1,1,0,0
6,Government workers,OFWs,0,0,0,0
7,OFWs,Social workers tulad ng guro,0,0,0,0
8,Social workers tulad ng guro,Government workers,0,0,0,0
9,estudyante,estudyante,1,1,0,0
11,estudyante,estudyante,1,1,0,0
14,estudyante,estudyante,1,1,0,0
18,estudyante,estudyante,1,1,0,0
19,estudyante,estudyante,1,1,0,0
21,Social workers tulad ng guro,estudyante,0,1,1,1
22,Social workers tulad ng guro,estudyante,0,1,1,1
23,Social workers tulad ng guro,estudyante,0,1,1,1
24,Social workers tulad ng guro,estudyante,0,1,1,1
25,Social workers tulad ng guro,estudyante,0,1,1,1
26,Social workers tulad ng guro,estudyante,0,1,1,1
27,Social workers tulad ng guro,estudyante,0,1,1,1
28,Social workers tulad ng guro,estudyante,0,1,1,1
29,Social workers tulad ng guro,estudyante,0,1,1,1
30,Social workers tulad ng guro,estudyante,0,1,1,1
31,Social workers tulad ng guro,estudyante,0,1,1,1
32,Social workers tulad ng guro,estudyante,0,1,1,1
33,estudyante,estudyante,1,1,0,0
35,Government workers,Government workers,0,0,0,0
38,estudyante,estudyante,1,1,0,0
39,estudyante,estudyante,1,1,0,0
44,Social workers tulad ng guro,Social workers tulad ng guro,0,0,0,0
49,Government workers,estudyante,0,1,1,1
51,estudyante,estudyante,1,1,0,0
52,estudyante,estudyante,1,1,0,0
53,Government workers,estudyante,0,1,1,1
54,estudyante,estudyante,1,1,0,0
55,estudyante,estudyante,1,1,0,0
56,estudyante,estudyante,1,1,0,0
57,estudyante,estudyante,1,1,0,0
58,estudyante,estudyante,1,1,0,0
59,estudyante,estudyante,1,1,0,0
60,estudyante,estudyante,1,1,0,0
61,estudyante,estudyante,1,1,0,0
62,estudyante,estudyante,1,1,0,0
63,OFWs,estudyante,0,1,1,1
64,OFWs,estudyante,0,1,1,1
74,estudyante,estudyante,1,1,0,0
75,estudyante,estudyante,1,1,0,0
76,estudyante,estudyante,1,1,0,0
81,estudyante,estudyante,1,1,0,0
82,estudyante,estudyante,1,1,0,0
85,OFWs,estudyante,0,1,1,1
86,OFWs,estudyante,0,1,1,1
87,OFWs,estudyante,0,1,1,1
88,OFWs,estudyante,0,1,1,1
90,OFWs,OFWs,0,0,0,0
92,OFWs,estudyante,0,1,1,1
94,OFWs,estudyante,0,1,1,1
95,OFWs,estudyante,0,1,1,1
96,OFWs,estudyante,0,1,1,1
97,estudyante,estudyante,1,1,0,0
98,OFWs,OFWs,0,0,0,0
103,Government workers,estudyante,0,1,1,1
104,estudyante,estudyante,1,1,0,0
